Neighbourhood,City,Neighbourhood Number,population_2016,english,percent_english,french,percent_french,non_official_languages,percent_nol,low_income,percent_low,midplus_income,percent_midplus,Americas,Brazil,Colombia,El Salvador,Guyana,Haiti,Jamaica,Mexico,Peru,Trinidad and Tobago,United States,Other places of birth in Americas,Europe,Bosnia and Herzegovina,Croatia,France,Germany,Greece,Hungary,Ireland,Italy,Netherlands,Poland,Portugal,Romania,Russian Federation,Serbia,Ukraine,United Kingdom,Other places of birth in Europe,Algeria,Egypt,Ethiopia,Kenya,Morocco,Nigeria,Somalia,South Africa; Republic of,Other places of birth in Africa,Asia,Afghanistan,Bangladesh,China,Hong Kong,India,Iran,Iraq,Japan,Korea; South,Lebanon,Pakistan,Philippines,Sri Lanka,Syria,Taiwan,Viet Nam,Other places of birth in Asia,Oceania and other places of birth,percent Americas,percent Brazil,percent Colombia,percent El Salvador,percent Guyana,percent Haiti,percent Jamaica,percent Mexico,percent Peru,percent Trinidad and Tobago,percent United States,percent Other places of birth in Americas,percent Europe,percent Bosnia and Herzegovina,percent Croatia,percent France,percent Germany,percent Greece,percent Hungary,percent Ireland,percent Italy,percent Netherlands,percent Poland,percent Portugal,percent Romania,percent Russian Federation,percent Serbia,percent Ukraine,percent United Kingdom,percent Other places of birth in Europe,percent Algeria,percent Egypt,percent Ethiopia,percent Kenya,percent Morocco,percent Nigeria,percent Somalia,percent South Africa; Republic of,percent Other places of birth in Africa,percent Asia,percent Afghanistan,percent Bangladesh,percent China,percent Hong Kong,percent India,percent Iran,percent Iraq,percent Japan,percent Korea; South,percent Lebanon,percent Pakistan,percent Philippines,percent Sri Lanka,percent Syria,percent Taiwan,percent Viet Nam,percent Other places of birth in Asia,percent Oceania and other places of birth
Glenfield-Jane Heights,Toronto,25,30491,13575,0.445213342,175,0.005739399,15010,0.492276409,15260,0.50047555,14960,0.490636581,6470,0,155,465,1595,60,1450,140,155,225,85,2155,3360,0,20,20,25,85,40,15,2475,10,105,245,20,20,50,40,80,105,0,0,105,35,15,475,140,10,770,6370,200,60,160,20,410,10,325,10,10,35,100,1155,235,10,0,2785,830,35,0.212193762,0,0.005083467,0.015250402,0.052310518,0.001967794,0.047555016,0.004591519,0.005083467,0.007379227,0.002787708,0.070676593,0.110196451,0,0.000655931,0.000655931,0.000819914,0.002787708,0.001311863,0.000491948,0.081171493,0.000327966,0.003443639,0.008035158,0.000655931,0.000655931,0.001639828,0.001311863,0.002623725,0.003443639,0,0,0.003443639,0.00114788,0.000491948,0.015578367,0.004591519,0.000327966,0.025253353,0.208914106,0.006559313,0.001967794,0.00524745,0.000655931,0.013446591,0.000327966,0.010658883,0.000327966,0.000327966,0.00114788,0.003279656,0.03788003,0.007707192,0.000327966,0,0.091338428,0.027221147,0.00114788
Greenwood-Coxwell,Toronto,65,14417,9555,0.662759243,265,0.018381078,4145,0.287507803,4940,0.342651037,9435,0.654435736,730,20,0,20,110,10,80,10,10,65,160,260,940,30,10,20,40,105,20,45,95,10,30,25,25,20,0,35,345,80,0,20,85,30,10,0,10,20,125,2420,40,40,890,160,240,35,0,15,50,0,210,190,45,0,30,245,235,10,0.050634667,0.001387251,0,0.001387251,0.007629881,0.000693626,0.005549005,0.000693626,0.000693626,0.004508566,0.011098009,0.018034265,0.065200805,0.002080877,0.000693626,0.001387251,0.002774502,0.007283069,0.001387251,0.003121315,0.006589443,0.000693626,0.002080877,0.001734064,0.001734064,0.001387251,0,0.00242769,0.023930083,0.005549005,0,0.001387251,0.005895817,0.002080877,0.000693626,0,0.000693626,0.001387251,0.00867032,0.167857391,0.002774502,0.002774502,0.061732677,0.011098009,0.016647014,0.00242769,0,0.001040438,0.003468128,0,0.014566137,0.013178886,0.003121315,0,0.002080877,0.016993827,0.016300201,0.000693626
Guildwood,Toronto,140,9917,7130,0.71896743,130,0.013108803,2190,0.220832913,1750,0.176464657,7910,0.797620248,640,10,10,10,165,20,120,55,0,135,90,40,1185,0,25,15,150,60,30,45,55,25,70,25,65,10,25,30,400,155,0,0,20,10,0,0,0,30,55,1165,25,145,115,45,135,25,0,15,45,10,45,390,55,0,0,60,55,10,0.064535646,0.001008369,0.001008369,0.001008369,0.016638096,0.002016739,0.012100434,0.005546032,0,0.013612988,0.009075325,0.004033478,0.119491782,0,0.002520924,0.001512554,0.015125542,0.006050217,0.003025108,0.004537663,0.005546032,0.002520924,0.007058586,0.002520924,0.006554402,0.001008369,0.002520924,0.003025108,0.040334779,0.015629727,0,0,0.002016739,0.001008369,0,0,0,0.003025108,0.005546032,0.117475043,0.002520924,0.014621357,0.011596249,0.004537663,0.013612988,0.002520924,0,0.001512554,0.004537663,0.001008369,0.004537663,0.039326409,0.005546032,0,0,0.006050217,0.005546032,0.001008369
Henry Farm,Toronto,53,15723,4720,0.300197163,145,0.009222159,9795,0.622972715,7230,0.459835909,8485,0.539655282,825,70,65,25,120,0,110,10,0,80,155,200,910,0,10,30,35,60,40,10,30,20,40,30,135,135,20,55,115,145,25,215,10,30,0,35,25,15,170,7255,370,225,1315,380,1165,760,360,40,230,85,425,1025,155,75,70,65,500,0,0.052470902,0.004452077,0.004134071,0.001590027,0.007632131,0,0.00699612,0.000636011,0,0.005088088,0.00985817,0.012720219,0.057876995,0,0.000636011,0.001908033,0.002226038,0.003816066,0.002544044,0.000636011,0.001908033,0.001272022,0.002544044,0.001908033,0.008586148,0.008586148,0.001272022,0.00349806,0.007314126,0.009222159,0.001590027,0.013674235,0.000636011,0.001908033,0,0.002226038,0.001590027,0.000954016,0.010812186,0.461425937,0.023532405,0.014310246,0.083635439,0.024168416,0.074095274,0.048336831,0.022896394,0.002544044,0.014628252,0.005406093,0.027030465,0.065191121,0.00985817,0.004770082,0.004452077,0.004134071,0.031800547,0
High Park North,Toronto,88,22162,13495,0.608925187,485,0.021884306,7520,0.339319556,6300,0.284270373,15520,0.700297807,1210,80,85,20,65,0,70,145,45,50,300,355,4065,95,60,65,235,60,115,90,100,25,725,135,150,360,240,400,550,685,10,40,80,10,0,10,0,55,130,1995,10,10,250,75,300,200,35,45,200,20,70,245,10,25,10,90,375,55,0.05459796,0.003609783,0.003835394,0.000902446,0.002932948,0,0.00315856,0.006542731,0.002030503,0.002256114,0.013536684,0.01601841,0.183422074,0.004286617,0.002707337,0.002932948,0.010603736,0.002707337,0.005189062,0.004061005,0.004512228,0.001128057,0.032713654,0.006091508,0.006768342,0.016244021,0.010829348,0.018048913,0.024817255,0.030908763,0.000451223,0.001804891,0.003609783,0.000451223,0,0.000451223,0,0.002481725,0.005865897,0.090018951,0.000451223,0.000451223,0.01128057,0.003384171,0.013536684,0.009024456,0.00157928,0.002030503,0.009024456,0.000902446,0.00315856,0.011054959,0.000451223,0.001128057,0.000451223,0.004061005,0.016920856,0.002481725
High Park-Swansea,Toronto,87,23925,15700,0.656217346,500,0.020898642,6715,0.280668757,5055,0.211285266,18280,0.764054336,1025,35,55,0,60,0,75,65,60,60,350,235,3730,115,90,55,230,60,50,110,105,40,730,135,100,210,300,275,565,550,10,55,20,15,10,30,30,45,85,1425,0,15,260,65,170,100,30,70,155,0,25,165,30,10,15,140,165,65,0.042842215,0.001462905,0.002298851,0,0.002507837,0,0.003134796,0.002716823,0.002507837,0.002507837,0.014629049,0.009822362,0.155903866,0.004806688,0.003761755,0.002298851,0.009613375,0.002507837,0.002089864,0.004597701,0.004388715,0.001671891,0.030512017,0.005642633,0.004179728,0.008777429,0.012539185,0.011494253,0.023615465,0.022988506,0.000417973,0.002298851,0.000835946,0.000626959,0.000417973,0.001253918,0.001253918,0.001880878,0.003552769,0.059561129,0,0.000626959,0.010867294,0.002716823,0.007105538,0.004179728,0.001253918,0.00292581,0.006478579,0,0.001044932,0.006896552,0.001253918,0.000417973,0.000626959,0.00585162,0.006896552,0.002716823
Highland Creek,Toronto,134,12494,6665,0.533456059,80,0.006403073,5220,0.417800544,2835,0.226908916,9620,0.769969585,1895,20,10,15,715,10,520,10,10,240,75,275,910,0,10,0,50,85,30,20,265,0,55,25,20,0,10,0,190,155,0,25,20,30,0,20,0,0,90,4000,35,165,260,205,835,20,15,10,75,10,285,590,1165,0,10,65,245,20,0.151672803,0.001600768,0.000800384,0.001200576,0.057227469,0.000800384,0.041619978,0.000800384,0.000800384,0.01920922,0.006002881,0.022010565,0.072834961,0,0.000800384,0,0.004001921,0.006803266,0.002401153,0.001600768,0.021210181,0,0.004402113,0.00200096,0.001600768,0,0.000800384,0,0.0152073,0.012405955,0,0.00200096,0.001600768,0.002401153,0,0.001600768,0,0,0.007203458,0.320153674,0.002801345,0.013206339,0.020809989,0.016407876,0.066832079,0.001600768,0.001200576,0.000800384,0.006002881,0.000800384,0.022810949,0.047222667,0.093244757,0,0.000800384,0.005202497,0.019609413,0.001600768
Hillcrest Village,Toronto,48,16934,4870,0.287587103,130,0.007676863,11355,0.670544467,6110,0.360812566,10795,0.637474903,755,10,90,30,125,0,135,20,45,105,105,105,1320,15,10,25,85,85,65,20,35,20,55,10,290,115,45,75,180,210,0,60,10,50,15,10,25,30,130,8860,60,40,4325,1460,560,690,20,40,420,60,95,245,180,25,205,70,350,20,0.044584859,0.000590528,0.005314751,0.001771584,0.007381599,0,0.007972127,0.001181056,0.002657376,0.006200543,0.006200543,0.006200543,0.077949687,0.000885792,0.000590528,0.00147632,0.005019487,0.005019487,0.003838432,0.001181056,0.002066848,0.001181056,0.003247904,0.000590528,0.01712531,0.006791071,0.002657376,0.004428959,0.010629503,0.012401087,0,0.003543168,0.000590528,0.00295264,0.000885792,0.000590528,0.00147632,0.001771584,0.007676863,0.523207748,0.003543168,0.002362112,0.255403331,0.086217078,0.033069564,0.040746427,0.001181056,0.002362112,0.024802173,0.003543168,0.005610015,0.014467934,0.010629503,0.00147632,0.012105823,0.004133696,0.020668478,0.001181056
Humber Heights-Westmount,Toronto,8,10948,4710,0.430215564,65,0.005937157,5230,0.477712824,3110,0.28407015,6990,0.63847278,850,80,95,40,65,0,130,10,35,55,70,275,2800,45,75,0,65,25,45,0,705,10,310,300,100,100,75,425,160,390,0,25,85,0,0,25,135,0,150,560,25,25,0,0,100,20,25,0,90,10,15,125,10,0,25,0,55,20,0.077639752,0.007307271,0.008677384,0.003653635,0.005937157,0,0.011874315,0.000913409,0.003196931,0.005023749,0.006393862,0.025118743,0.255754476,0.00411034,0.006850566,0,0.005937157,0.002283522,0.00411034,0,0.064395323,0.000913409,0.028315674,0.027402265,0.009134088,0.009134088,0.006850566,0.038819876,0.014614541,0.035622945,0,0.002283522,0.007763975,0,0,0.002283522,0.012331019,0,0.013701133,0.051150895,0.002283522,0.002283522,0,0,0.009134088,0.001826818,0.002283522,0,0.00822068,0.000913409,0.001370113,0.011417611,0.000913409,0,0.002283522,0,0.005023749,0.001826818
Humber Summit,Toronto,21,12416,4580,0.368878866,35,0.002818943,7175,0.577883376,5275,0.424855026,7130,0.574259021,1525,0,85,85,255,0,550,45,20,90,25,375,1965,0,10,20,15,15,0,0,1615,10,15,110,30,10,0,15,70,20,0,0,0,10,0,65,50,10,150,3510,80,120,50,10,1140,10,365,0,40,0,975,285,95,0,0,295,65,10,0.122825387,0,0.006846005,0.006846005,0.020538015,0,0.04429768,0.003624356,0.001610825,0.007248711,0.002013531,0.030202964,0.158263531,0,0.000805412,0.001610825,0.001208119,0.001208119,0,0,0.130074098,0.000805412,0.001208119,0.008859536,0.002416237,0.000805412,0,0.001208119,0.005637887,0.001610825,0,0,0,0.000805412,0,0.00523518,0.004027062,0.000805412,0.012081186,0.282699742,0.006443299,0.009664948,0.004027062,0.000805412,0.09181701,0.000805412,0.029397552,0,0.003221649,0,0.078527706,0.022954253,0.007651418,0,0,0.023759665,0.00523518,0.000805412
