Neighbourhood,City,Neighbourhood Number,population_2016,english,percent_english,french,percent_french,non_official_languages,percent_nol,low_income,percent_low,midplus_income,percent_midplus,Americas,Brazil,Colombia,El Salvador,Guyana,Haiti,Jamaica,Mexico,Peru,Trinidad and Tobago,United States,Other places of birth in Americas,Europe,Bosnia and Herzegovina,Croatia,France,Germany,Greece,Hungary,Ireland,Italy,Netherlands,Poland,Portugal,Romania,Russian Federation,Serbia,Ukraine,United Kingdom,Other places of birth in Europe,Algeria,Egypt,Ethiopia,Kenya,Morocco,Nigeria,Somalia,South Africa; Republic of,Other places of birth in Africa,Asia,Afghanistan,Bangladesh,China,Hong Kong,India,Iran,Iraq,Japan,Korea; South,Lebanon,Pakistan,Philippines,Sri Lanka,Syria,Taiwan,Viet Nam,Other places of birth in Asia,Oceania and other places of birth,percent Americas,percent Brazil,percent Colombia,percent El Salvador,percent Guyana,percent Haiti,percent Jamaica,percent Mexico,percent Peru,percent Trinidad and Tobago,percent United States,percent Other places of birth in Americas,percent Europe,percent Bosnia and Herzegovina,percent Croatia,percent France,percent Germany,percent Greece,percent Hungary,percent Ireland,percent Italy,percent Netherlands,percent Poland,percent Portugal,percent Romania,percent Russian Federation,percent Serbia,percent Ukraine,percent United Kingdom,percent Other places of birth in Europe,percent Algeria,percent Egypt,percent Ethiopia,percent Kenya,percent Morocco,percent Nigeria,percent Somalia,percent South Africa; Republic of,percent Other places of birth in Africa,percent Asia,percent Afghanistan,percent Bangladesh,percent China,percent Hong Kong,percent India,percent Iran,percent Iraq,percent Japan,percent Korea; South,percent Lebanon,percent Pakistan,percent Philippines,percent Sri Lanka,percent Syria,percent Taiwan,percent Viet Nam,percent Other places of birth in Asia,percent Oceania and other places of birth
Humbermede,Toronto,22,15545,6365,0.409456417,65,0.004181409,8365,0.53811515,7250,0.466387906,8270,0.53200386,3160,30,150,175,500,60,790,45,70,115,75,1145,1380,0,10,0,40,45,65,0,760,0,40,115,45,20,10,10,110,90,0,25,40,10,0,260,40,10,395,4100,45,10,95,0,1015,10,125,10,65,0,790,675,180,40,0,790,270,0,0.203280798,0.001929881,0.009649405,0.011257639,0.032164683,0.003859762,0.050820199,0.002894821,0.004503056,0.007397877,0.004824702,0.073657124,0.088774526,0,0.000643294,0,0.002573175,0.002894821,0.004181409,0,0.048890318,0,0.002573175,0.007397877,0.002894821,0.001286587,0.000643294,0.000643294,0.00707623,0.005789643,0,0.001608234,0.002573175,0.000643294,0,0.016725635,0.002573175,0.000643294,0.0254101,0.263750402,0.002894821,0.000643294,0.00611129,0,0.065294307,0.000643294,0.008041171,0.000643294,0.004181409,0,0.050820199,0.043422322,0.011579286,0.002573175,0,0.050820199,0.017368929,0
Humewood-Cedarvale,Toronto,106,14365,9605,0.668639053,240,0.016707275,3920,0.272885486,4320,0.300730943,9915,0.690219283,1095,25,35,20,35,0,195,85,20,75,240,390,1410,0,10,30,45,140,105,20,165,25,95,110,55,95,25,40,245,210,0,35,15,20,15,10,0,75,145,1800,10,20,80,45,45,50,0,60,85,10,40,1155,30,10,0,45,155,10,0.07622694,0.001740341,0.002436478,0.001392273,0.002436478,0,0.013574661,0.00591716,0.001392273,0.005221023,0.016707275,0.027149321,0.098155238,0,0.000696136,0.002088409,0.003132614,0.00974591,0.007309433,0.001392273,0.011486251,0.001740341,0.006613296,0.007657501,0.00382875,0.006613296,0.001740341,0.002784546,0.017055343,0.014618865,0,0.002436478,0.001044205,0.001392273,0.001044205,0.000696136,0,0.005221023,0.010093978,0.12530456,0.000696136,0.001392273,0.005569092,0.003132614,0.003132614,0.003480682,0,0.004176819,0.00591716,0.000696136,0.002784546,0.080403759,0.002088409,0.000696136,0,0.003132614,0.010790115,0.000696136
Ionview,Toronto,125,13641,6460,0.473572319,110,0.008063925,6235,0.457077927,6145,0.45048017,7470,0.547613811,1405,0,0,50,560,15,320,0,0,130,70,245,915,0,10,10,60,230,0,10,115,10,45,20,30,10,25,0,115,220,20,40,110,20,30,0,40,0,290,4915,70,270,235,45,665,25,35,0,15,65,240,1915,810,45,10,95,370,10,0.102998314,0,0,0.00366542,0.041052709,0.001099626,0.023458691,0,0,0.009530093,0.005131589,0.01796056,0.067077194,0,0.000733084,0.000733084,0.004398505,0.016860934,0,0.000733084,0.008430467,0.000733084,0.003298878,0.001466168,0.002199252,0.000733084,0.00183271,0,0.008430467,0.01612785,0.001466168,0.002932336,0.008063925,0.001466168,0.002199252,0,0.002932336,0,0.021259438,0.360310828,0.005131589,0.01979327,0.017227476,0.003298878,0.048750092,0.00183271,0.002565794,0,0.001099626,0.004765047,0.017594018,0.140385602,0.059379811,0.003298878,0.000733084,0.006964299,0.027124111,0.000733084
Islington-City Centre West,Toronto,14,43965,21280,0.484021381,605,0.013760946,19890,0.452405322,12545,0.285340612,30685,0.697941544,2460,190,180,85,185,30,380,145,85,205,265,705,8325,490,310,95,250,155,120,120,640,70,1270,660,265,350,555,1105,725,1185,10,110,95,105,20,120,345,85,470,7415,120,240,790,195,1250,195,140,40,1195,85,335,1360,140,135,85,250,855,50,0.055953599,0.004321619,0.004094166,0.001933356,0.004207893,0.000682361,0.008643239,0.003298078,0.001933356,0.0046628,0.006027522,0.016035483,0.189355169,0.011145229,0.007051063,0.00216081,0.005686341,0.003525532,0.002729444,0.002729444,0.014557034,0.001592176,0.028886614,0.015011941,0.006027522,0.007960878,0.012623678,0.025133629,0.01649039,0.026953258,0.000227454,0.00250199,0.00216081,0.002388263,0.000454907,0.002729444,0.007847151,0.001933356,0.010690322,0.168656886,0.002729444,0.005458888,0.017968839,0.004435346,0.028431707,0.004435346,0.003184351,0.000909815,0.027180712,0.001933356,0.007619697,0.030933697,0.003184351,0.003070624,0.001933356,0.005686341,0.019447288,0.001137268
Junction Area,Toronto,90,14366,9060,0.630655715,210,0.014617848,4370,0.30419045,3940,0.274258666,10135,0.705485173,855,60,30,25,65,0,85,95,45,75,175,195,1855,20,35,20,75,130,30,45,105,10,140,490,45,80,55,95,250,295,0,10,10,10,0,10,0,0,100,1640,0,20,320,55,155,20,0,35,30,0,15,395,15,0,25,365,195,30,0.059515523,0.004176528,0.002088264,0.00174022,0.004524572,0,0.005916748,0.006612836,0.003132396,0.00522066,0.01218154,0.013573716,0.129124321,0.001392176,0.002436308,0.001392176,0.00522066,0.009049144,0.002088264,0.003132396,0.007308924,0.000696088,0.009745232,0.034108311,0.003132396,0.005568704,0.003828484,0.006612836,0.0174022,0.020534596,0,0.000696088,0.000696088,0.000696088,0,0.000696088,0,0,0.00696088,0.11415843,0,0.001392176,0.022274816,0.003828484,0.010789364,0.001392176,0,0.002436308,0.002088264,0,0.001044132,0.027495475,0.001044132,0,0.00174022,0.025407211,0.013573716,0.002088264
Keelesdale-Eglinton West,Toronto,110,11058,4150,0.375293905,90,0.008138904,6305,0.570175439,4345,0.392928197,6670,0.603183216,1535,160,35,85,130,0,345,25,35,80,25,595,3045,0,10,20,10,55,20,10,535,10,70,2170,0,10,0,0,60,50,0,0,0,0,0,0,10,25,110,1450,0,10,25,25,285,10,10,10,0,0,45,615,60,10,0,240,90,10,0.138813529,0.014469163,0.003165129,0.007686743,0.011756195,0,0.031199132,0.002260807,0.003165129,0.007234581,0.002260807,0.053807198,0.275366251,0,0.000904323,0.001808645,0.000904323,0.004973775,0.001808645,0.000904323,0.048381262,0.000904323,0.006330259,0.196238018,0,0.000904323,0,0,0.005425936,0.004521613,0,0,0,0,0,0,0.000904323,0.002260807,0.009947549,0.131126786,0,0.000904323,0.002260807,0.002260807,0.025773196,0.000904323,0.000904323,0.000904323,0,0,0.004069452,0.055615844,0.005425936,0.000904323,0,0.021703744,0.008138904,0.000904323
Kennedy Park,Toronto,124,17123,8220,0.480056065,155,0.009052152,7885,0.460491736,7945,0.463995795,9150,0.534368977,1525,20,10,65,575,10,350,20,10,205,75,215,1125,10,30,20,0,240,20,10,145,35,0,60,45,10,60,0,225,210,10,10,245,40,10,55,110,0,260,6080,85,1135,420,225,350,35,40,60,30,50,345,2050,820,20,10,125,280,10,0.089061496,0.00116802,0.00058401,0.003796064,0.033580564,0.00058401,0.020440343,0.00116802,0.00058401,0.011972201,0.004380074,0.012556211,0.065701104,0.00058401,0.001752029,0.00116802,0,0.014016235,0.00116802,0.00058401,0.008468142,0.002044034,0,0.003504059,0.002628044,0.00058401,0.003504059,0,0.013140221,0.012264206,0.00058401,0.00058401,0.01430824,0.002336039,0.00058401,0.003212054,0.006424108,0,0.015184255,0.355077965,0.004964083,0.066285114,0.024528412,0.013140221,0.020440343,0.002044034,0.002336039,0.003504059,0.001752029,0.002920049,0.020148338,0.119722011,0.047888805,0.00116802,0.00058401,0.007300123,0.016352275,0.00058401
Kensington-Chinatown,Toronto,78,17945,8210,0.457509055,320,0.017832265,8565,0.477291725,9660,0.538311507,7795,0.434382836,795,35,35,35,25,20,140,20,10,90,190,195,860,20,0,50,35,20,20,30,25,0,90,125,30,50,10,10,180,130,0,15,70,10,35,10,55,30,80,5615,40,45,2990,395,130,100,10,65,185,10,155,340,25,30,110,535,435,10,0.044302034,0.001950404,0.001950404,0.001950404,0.001393146,0.001114517,0.007801616,0.001114517,0.000557258,0.005015325,0.010587907,0.010866537,0.047924213,0.001114517,0,0.002786291,0.001950404,0.001114517,0.001114517,0.001671775,0.001393146,0,0.005015325,0.006965729,0.001671775,0.002786291,0.000557258,0.000557258,0.010030649,0.007244358,0,0.000835887,0.003900808,0.000557258,0.001950404,0.000557258,0.003064921,0.001671775,0.004458066,0.312900529,0.002229033,0.002507662,0.166620228,0.022011702,0.007244358,0.005572583,0.000557258,0.003622179,0.010309278,0.000557258,0.008637503,0.018946782,0.001393146,0.001671775,0.006129841,0.029813318,0.024240736,0.000557258
Kingsview Village-The Westway,Toronto,6,22000,9675,0.439772727,265,0.012045455,10925,0.496590909,10160,0.461818182,11830,0.537727273,2000,85,100,105,220,10,570,50,20,115,120,630,2870,20,110,35,75,75,155,20,900,0,340,240,70,65,20,140,195,410,0,45,125,255,30,230,1265,10,635,3935,280,190,185,30,770,50,80,0,170,70,875,540,205,35,20,165,265,25,0.090909091,0.003863636,0.004545455,0.004772727,0.01,0.000454545,0.025909091,0.002272727,0.000909091,0.005227273,0.005454545,0.028636364,0.130454545,0.000909091,0.005,0.001590909,0.003409091,0.003409091,0.007045455,0.000909091,0.040909091,0,0.015454545,0.010909091,0.003181818,0.002954545,0.000909091,0.006363636,0.008863636,0.018636364,0,0.002045455,0.005681818,0.011590909,0.001363636,0.010454545,0.0575,0.000454545,0.028863636,0.178863636,0.012727273,0.008636364,0.008409091,0.001363636,0.035,0.002272727,0.003636364,0,0.007727273,0.003181818,0.039772727,0.024545455,0.009318182,0.001590909,0.000909091,0.0075,0.012045455,0.001136364
Kingsway South,Toronto,15,9271,7055,0.760975084,160,0.017258117,1930,0.208176033,885,0.095458958,8285,0.893646856,300,10,10,0,30,0,20,0,10,20,150,55,1095,20,25,10,60,15,40,30,115,35,130,10,30,20,40,80,295,130,0,0,0,15,0,0,0,30,35,420,0,0,60,25,50,35,0,0,70,10,0,65,0,0,10,0,45,65,0.032358969,0.001078632,0.001078632,0,0.003235897,0,0.002157265,0,0.001078632,0.002157265,0.016179484,0.005932478,0.118110236,0.002157265,0.002696581,0.001078632,0.006471794,0.001617948,0.004314529,0.003235897,0.012404271,0.003775213,0.01402222,0.001078632,0.003235897,0.002157265,0.004314529,0.008629058,0.031819653,0.01402222,0,0,0,0.001617948,0,0,0,0.003235897,0.003775213,0.045302556,0,0,0.006471794,0.002696581,0.005393161,0.003775213,0,0,0.007550426,0.001078632,0,0.00701111,0,0,0.001078632,0,0.004853845,0.00701111
Lambton Baby Point,Toronto,114,7985,5330,0.667501565,150,0.018785222,2255,0.282404508,2280,0.285535379,5690,0.712586099,505,25,20,0,10,10,115,15,20,25,125,140,1280,25,15,20,45,25,70,30,15,35,215,110,60,60,35,180,170,160,0,0,25,20,0,35,35,10,85,415,10,0,60,10,45,40,0,0,30,0,15,110,0,10,10,10,65,0,0.063243582,0.00313087,0.002504696,0,0.001252348,0.001252348,0.014402004,0.001878522,0.002504696,0.00313087,0.015654352,0.017532874,0.160300564,0.00313087,0.001878522,0.002504696,0.005635567,0.00313087,0.008766437,0.003757044,0.001878522,0.004383219,0.026925485,0.01377583,0.007514089,0.007514089,0.004383219,0.022542267,0.021289919,0.02003757,0,0,0.00313087,0.002504696,0,0.004383219,0.004383219,0.001252348,0.010644959,0.051972448,0.001252348,0,0.007514089,0.001252348,0.005635567,0.005009393,0,0,0.003757044,0,0.001878522,0.01377583,0,0.001252348,0.001252348,0.001252348,0.008140263,0
L'Amoreaux,Toronto,117,43993,13590,0.308912782,325,0.007387539,28075,0.638169709,19545,0.444275226,23935,0.544063828,2670,35,40,95,565,25,980,45,25,285,115,455,2385,35,20,20,140,545,90,20,510,10,95,50,135,55,30,20,305,360,10,290,90,110,0,85,95,40,615,21875,160,120,9430,1575,1360,400,495,40,120,565,530,2020,2620,590,130,600,1185,45,0.060691474,0.000795581,0.000909236,0.002159434,0.012842952,0.000568272,0.022276271,0.00102289,0.000568272,0.006478303,0.002614052,0.010342554,0.05421317,0.000795581,0.000454618,0.000454618,0.003182324,0.012388335,0.00204578,0.000454618,0.011592753,0.000227309,0.002159434,0.001136544,0.00306867,0.001250199,0.000681927,0.000454618,0.006932921,0.00818312,0.000227309,0.006591958,0.00204578,0.002500398,0,0.001932126,0.002159434,0.000909236,0.013979497,0.497238197,0.003636942,0.002727707,0.214352283,0.03580115,0.030914009,0.009092356,0.01125179,0.000909236,0.002727707,0.012842952,0.012047371,0.045916396,0.059554929,0.013411225,0.002955016,0.013638533,0.026936103,0.00102289
Lansing-Westgate,Toronto,38,16164,8275,0.511940114,185,0.011445187,7205,0.445743628,4695,0.290460282,11380,0.704033655,695,60,40,0,25,0,70,35,15,50,210,195,1785,15,30,35,35,80,70,20,75,25,105,20,195,320,30,210,225,300,0,45,15,20,25,0,10,90,120,4260,10,25,540,245,345,915,10,40,580,35,85,830,35,10,120,35,415,0,0.042996783,0.003711952,0.002474635,0,0.001546647,0,0.004330611,0.002165306,0.000927988,0.003093294,0.012991834,0.012063846,0.110430586,0.000927988,0.001855976,0.002165306,0.002165306,0.00494927,0.004330611,0.001237317,0.004639941,0.001546647,0.006495917,0.001237317,0.012063846,0.01979708,0.001855976,0.012991834,0.013919822,0.018559762,0,0.002783964,0.000927988,0.001237317,0.001546647,0,0.000618659,0.005567929,0.007423905,0.263548627,0.000618659,0.001546647,0.033407572,0.015157139,0.021343727,0.056607275,0.000618659,0.002474635,0.035882207,0.002165306,0.005258599,0.051348676,0.002165306,0.000618659,0.007423905,0.002165306,0.025674338,0
Lawrence Park North,Toronto,105,14607,11260,0.770863285,240,0.016430479,2905,0.198877251,1670,0.114328746,12890,0.882453618,555,0,25,10,35,0,30,35,10,20,270,110,1295,20,35,35,70,115,40,55,40,30,35,15,50,55,55,40,385,225,0,10,0,25,10,0,0,60,10,1335,0,10,235,120,65,200,10,15,175,20,0,165,25,10,40,40,205,50,0.037995482,0,0.001711508,0.000684603,0.002396111,0,0.00205381,0.002396111,0.000684603,0.001369207,0.018484288,0.007530636,0.088656124,0.001369207,0.002396111,0.002396111,0.004792223,0.007872938,0.002738413,0.003765318,0.002738413,0.00205381,0.002396111,0.001026905,0.003423016,0.003765318,0.003765318,0.002738413,0.026357226,0.015403574,0,0.000684603,0,0.001711508,0.000684603,0,0,0.00410762,0.000684603,0.091394537,0,0.000684603,0.016088177,0.008215239,0.004449921,0.013692065,0.000684603,0.001026905,0.011980557,0.001369207,0,0.011295954,0.001711508,0.000684603,0.002738413,0.002738413,0.014034367,0.003423016
Lawrence Park South,Toronto,103,15179,12020,0.791883523,270,0.017787733,2650,0.174583306,1890,0.124514131,13200,0.869622505,545,25,10,0,20,0,45,35,0,55,265,105,1225,25,0,65,90,50,20,55,85,20,65,20,35,110,50,70,300,200,20,40,10,10,0,0,0,75,35,1145,0,0,230,35,95,225,0,10,35,30,35,195,25,10,30,30,155,70,0.035904869,0.001647012,0.000658805,0,0.00131761,0,0.002964622,0.002305817,0,0.003623427,0.017458331,0.006917452,0.080703604,0.001647012,0,0.004282232,0.005929244,0.003294025,0.00131761,0.003623427,0.005599842,0.00131761,0.004282232,0.00131761,0.002305817,0.007246854,0.003294025,0.004611634,0.019764148,0.013176099,0.00131761,0.00263522,0.000658805,0.000658805,0,0,0,0.004941037,0.002305817,0.075433164,0,0,0.015152513,0.002305817,0.006258647,0.014823111,0,0.000658805,0.002305817,0.001976415,0.002305817,0.012846696,0.001647012,0.000658805,0.001976415,0.001976415,0.010211476,0.004611634
Leaside-Bennington,Toronto,56,16828,13450,0.799263133,290,0.017233183,2685,0.159555503,2125,0.126277633,14515,0.862550511,590,80,10,10,25,0,55,20,20,20,210,155,1435,25,20,45,80,90,50,50,65,45,30,25,65,45,55,15,595,135,0,20,0,55,10,10,0,45,40,1105,0,15,185,140,100,110,10,10,120,10,10,135,10,10,20,25,180,70,0.035060613,0.004753981,0.000594248,0.000594248,0.001485619,0,0.003268362,0.001188495,0.001188495,0.001188495,0.012479201,0.009210839,0.085274542,0.001485619,0.001188495,0.002674115,0.004753981,0.005348229,0.002971238,0.002971238,0.00386261,0.002674115,0.001782743,0.001485619,0.00386261,0.002674115,0.003268362,0.000891372,0.035357737,0.008022344,0,0.001188495,0,0.003268362,0.000594248,0.000594248,0,0.002674115,0.002376991,0.065664369,0,0.000891372,0.010993582,0.008319468,0.005942477,0.006536725,0.000594248,0.000594248,0.007130972,0.000594248,0.000594248,0.008022344,0.000594248,0.000594248,0.001188495,0.001485619,0.010696458,0.004159734
Little Portugal,Toronto,84,15559,9390,0.603509223,250,0.016067871,5315,0.341602931,5075,0.326177775,9970,0.640786683,650,95,30,10,40,0,45,40,20,30,120,185,2410,10,0,40,50,10,10,25,105,10,70,1740,25,35,15,10,140,95,10,10,10,0,10,20,10,30,175,1485,10,0,585,60,70,45,10,10,75,0,30,100,10,0,20,285,155,45,0.041776464,0.006105791,0.001928144,0.000642715,0.002570859,0,0.002892217,0.002570859,0.00128543,0.001928144,0.007712578,0.011890224,0.154894273,0.000642715,0,0.002570859,0.003213574,0.000642715,0.000642715,0.001606787,0.006748506,0.000642715,0.004499004,0.11183238,0.001606787,0.002249502,0.000964072,0.000642715,0.008998008,0.006105791,0.000642715,0.000642715,0.000642715,0,0.000642715,0.00128543,0.000642715,0.001928144,0.011247509,0.095443152,0.000642715,0,0.037598817,0.003856289,0.004499004,0.002892217,0.000642715,0.000642715,0.004820361,0,0.001928144,0.006427148,0.000642715,0,0.00128543,0.018317373,0.00996208,0.002892217
Long Branch,Toronto,19,10084,6540,0.648552162,145,0.014379215,3125,0.309896866,3375,0.334688616,6680,0.662435541,650,20,15,35,55,0,75,20,0,120,125,180,1855,35,40,25,70,10,45,10,45,25,520,80,25,115,70,255,260,235,0,10,10,10,10,0,10,15,30,825,0,15,75,20,80,55,0,10,10,20,30,310,10,10,0,55,145,10,0.064458548,0.00198334,0.001487505,0.003470845,0.005454185,0,0.007437525,0.00198334,0,0.01190004,0.012395875,0.01785006,0.18395478,0.003470845,0.00396668,0.002479175,0.00694169,0.00099167,0.004462515,0.00099167,0.004462515,0.002479175,0.051566839,0.00793336,0.002479175,0.011404205,0.00694169,0.025287584,0.025783419,0.023304244,0,0.00099167,0.00099167,0.00099167,0.00099167,0,0.00099167,0.001487505,0.00297501,0.081812773,0,0.001487505,0.007437525,0.00198334,0.00793336,0.005454185,0,0.00099167,0.00099167,0.00198334,0.00297501,0.030741769,0.00099167,0.00099167,0,0.005454185,0.014379215,0.00099167
Malvern,Toronto,132,43794,21045,0.48054528,305,0.006964424,20120,0.459423665,18480,0.421975613,25295,0.577590538,7120,0,70,115,2430,125,2105,40,25,1075,200,935,1060,10,10,30,90,45,30,10,65,40,105,65,55,10,0,0,350,200,25,75,160,140,20,175,100,40,505,17440,295,510,1370,700,3380,80,45,20,60,40,1540,3660,4860,65,50,230,585,45,0.162579349,0,0.001598392,0.00262593,0.055487053,0.002854272,0.048065945,0.000913367,0.000570854,0.024546742,0.004566836,0.021349957,0.024204229,0.000228342,0.000228342,0.000685025,0.002055076,0.001027538,0.000685025,0.000228342,0.001484222,0.000913367,0.002397589,0.001484222,0.00125588,0.000228342,0,0,0.007991962,0.004566836,0.000570854,0.001712563,0.003653469,0.003196785,0.000456684,0.003995981,0.002283418,0.000913367,0.01153126,0.398228068,0.006736083,0.011645431,0.031282824,0.015983925,0.077179522,0.001826734,0.001027538,0.000456684,0.001370051,0.000913367,0.035164634,0.083573092,0.110974106,0.001484222,0.001141709,0.005251861,0.013357994,0.001027538
Maple Leaf,Toronto,29,10111,3835,0.379289882,35,0.003461577,5570,0.550885175,3650,0.360992978,6200,0.613193552,965,30,45,70,25,0,195,30,30,65,25,415,2185,0,25,25,20,30,10,10,1460,0,35,450,10,10,0,20,35,85,0,0,10,20,0,55,0,0,50,1940,0,25,25,0,500,10,20,0,20,20,0,965,85,0,0,210,75,0,0.095440609,0.002967066,0.004450598,0.006923153,0.002472555,0,0.019285926,0.002967066,0.002967066,0.006428642,0.002472555,0.041044407,0.216101276,0,0.002472555,0.002472555,0.001978044,0.002967066,0.000989022,0.000989022,0.144397191,0,0.003461577,0.044505984,0.000989022,0.000989022,0,0.001978044,0.003461577,0.008406686,0,0,0.000989022,0.001978044,0,0.00543962,0,0,0.004945109,0.19187024,0,0.002472555,0.002472555,0,0.049451093,0.000989022,0.001978044,0,0.001978044,0.001978044,0,0.095440609,0.008406686,0,0,0.020769459,0.007417664,0
Markland Wood,Toronto,12,10554,5880,0.557134736,125,0.011843851,4175,0.395584612,2025,0.191870381,8430,0.798749289,440,50,20,10,25,10,50,30,10,25,120,95,2725,220,155,20,75,55,50,30,130,45,350,75,65,35,415,270,270,460,0,10,0,20,0,0,0,20,35,625,0,0,45,45,50,40,0,0,170,15,45,75,0,20,20,10,75,10,0.041690354,0.00473754,0.001895016,0.000947508,0.00236877,0.000947508,0.00473754,0.002842524,0.000947508,0.00236877,0.011370097,0.009001327,0.258195945,0.020845177,0.014686375,0.001895016,0.00710631,0.005211294,0.00473754,0.002842524,0.012317605,0.004263786,0.033162782,0.00710631,0.006158802,0.003316278,0.039321584,0.025582717,0.025582717,0.04358537,0,0.000947508,0,0.001895016,0,0,0,0.001895016,0.003316278,0.059219253,0,0,0.004263786,0.004263786,0.00473754,0.003790032,0,0,0.016107637,0.001421262,0.004263786,0.00710631,0,0.001895016,0.001895016,0.000947508,0.00710631,0.000947508
Milliken,Toronto,130,26572,5305,0.199646244,60,0.002258016,19965,0.75135481,12860,0.483968087,13185,0.496199006,1110,0,0,10,340,0,335,0,30,175,40,185,245,0,0,10,15,40,0,0,30,10,0,10,15,10,10,0,80,30,0,30,10,35,0,0,0,10,155,16660,50,20,9410,3050,780,10,20,30,10,10,160,885,1150,10,150,465,450,0,0.041773295,0,0,0.000376336,0.012795424,0,0.012607256,0,0.001129008,0.00658588,0.001505344,0.006962216,0.009220232,0,0,0.000376336,0.000564504,0.001505344,0,0,0.001129008,0.000376336,0,0.000376336,0.000564504,0.000376336,0.000376336,0,0.003010688,0.001129008,0,0.001129008,0.000376336,0.001317176,0,0,0,0.000376336,0.005833208,0.626975764,0.00188168,0.000752672,0.354132169,0.114782478,0.029354207,0.000376336,0.000752672,0.001129008,0.000376336,0.000376336,0.006021376,0.033305735,0.043278639,0.000376336,0.00564504,0.017499624,0.01693512,0
Mimico (includes Humber Bay Shores),Toronto,17,33964,18940,0.557649276,660,0.01943234,12675,0.373189259,10315,0.303703922,22995,0.677040396,2165,155,135,65,170,0,235,160,105,170,340,640,5990,150,100,55,235,50,100,75,370,40,1190,470,180,340,125,740,830,935,10,100,70,40,10,110,40,70,240,4515,15,60,710,200,920,310,35,60,395,75,120,770,45,15,10,160,600,55,0.063743964,0.004563656,0.003974797,0.001913791,0.0050053,0,0.006919091,0.00471087,0.003091509,0.0050053,0.010010599,0.018843481,0.176363208,0.004416441,0.002944294,0.001619362,0.006919091,0.001472147,0.002944294,0.00220822,0.010893888,0.001177718,0.035037098,0.013838182,0.005299729,0.010010599,0.003680367,0.021787775,0.02443764,0.027529149,0.000294429,0.002944294,0.002061006,0.001177718,0.000294429,0.003238723,0.001177718,0.002061006,0.007066305,0.132934872,0.000441644,0.001766576,0.020904487,0.005888588,0.027087504,0.009127311,0.001030503,0.001766576,0.011629961,0.00220822,0.003533153,0.022671063,0.001324932,0.000441644,0.000294429,0.00471087,0.017665764,0.001619362
Morningside,Toronto,135,17455,9095,0.521054139,145,0.008307075,7060,0.404468634,7270,0.41649957,9885,0.566313377,2205,10,0,10,635,35,760,65,0,220,85,380,955,0,0,10,80,60,20,45,115,25,75,20,65,10,45,0,245,130,10,10,60,15,0,135,10,35,225,5800,175,285,365,145,875,15,15,25,55,45,395,1510,1570,40,40,75,195,30,0.126324835,0.000572902,0,0.000572902,0.036379261,0.002005156,0.043540533,0.003723861,0,0.012603838,0.004869665,0.021770266,0.054712117,0,0,0.000572902,0.004583214,0.00343741,0.001145803,0.002578058,0.00658837,0.001432254,0.004296763,0.001145803,0.003723861,0.000572902,0.002578058,0,0.014036093,0.007447723,0.000572902,0.000572902,0.00343741,0.000859353,0,0.007734174,0.000572902,0.002005156,0.012890289,0.332283013,0.010025781,0.0163277,0.020910914,0.008307075,0.050128903,0.000859353,0.000859353,0.001432254,0.00315096,0.002578058,0.022629619,0.086508164,0.089945574,0.002291607,0.002291607,0.004296763,0.011171584,0.001718705
Moss Park,Toronto,73,20506,11830,0.576904321,655,0.031941871,5740,0.279918073,8395,0.409392373,10065,0.490831952,1205,65,90,40,160,10,220,90,0,95,210,225,1325,30,35,55,45,40,35,50,30,30,110,65,60,140,55,80,320,145,10,40,375,45,10,35,245,55,440,2620,25,190,360,220,220,175,20,40,125,25,95,375,125,30,20,265,270,40,0.058763289,0.003169804,0.004388959,0.001950649,0.007802594,0.000487662,0.010728567,0.004388959,0,0.00463279,0.010240905,0.010972398,0.064615235,0.001462986,0.001706818,0.002682142,0.00219448,0.001950649,0.001706818,0.002438311,0.001462986,0.001462986,0.005364284,0.003169804,0.002925973,0.00682727,0.002682142,0.003901297,0.015605189,0.007071101,0.000487662,0.001950649,0.018287331,0.00219448,0.000487662,0.001706818,0.011947723,0.002682142,0.021457134,0.127767483,0.001219155,0.009265581,0.017555837,0.010728567,0.010728567,0.008534088,0.000975324,0.001950649,0.006095777,0.001219155,0.00463279,0.018287331,0.006095777,0.001462986,0.000975324,0.012923047,0.013166878,0.001950649
Mount Dennis,Toronto,115,13593,6955,0.511660413,80,0.005885382,5610,0.412712426,6300,0.463473847,6975,0.513131759,3150,240,135,185,270,10,920,90,55,160,75,990,1395,20,20,15,30,45,25,0,125,0,105,575,35,30,0,55,95,220,0,10,75,25,0,220,275,10,430,1835,25,75,70,25,85,30,0,20,135,0,20,645,55,10,10,515,130,15,0.231736923,0.017656147,0.009931582,0.013609946,0.019863165,0.000735673,0.067681895,0.006621055,0.0040462,0.011770764,0.005517546,0.072831605,0.102626352,0.001471346,0.001471346,0.001103509,0.002207018,0.003310527,0.001839182,0,0.00919591,0,0.007724564,0.042301184,0.002574855,0.002207018,0,0.0040462,0.006988891,0.016184801,0,0.000735673,0.005517546,0.001839182,0,0.016184801,0.020231001,0.000735673,0.031633929,0.134995954,0.001839182,0.005517546,0.005149709,0.001839182,0.006253219,0.002207018,0,0.001471346,0.009931582,0,0.001471346,0.047450894,0.0040462,0.000735673,0.000735673,0.037887148,0.009563746,0.001103509
